name,full_address,description,tags,opening_date,osm_last_edit,osm_last_edit_age_days,osm_first_added,google_place_id,google_first_seen,google_first_review_date,source
Food Chef,"Rapakivenkuja 9, 00710 Helsinki","lunch, pizza cuisine",confidence:medium;cuisine:lunch;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant;takeaway:yes,,2025-08-11T07:31:38Z,178,,,,,OpenStreetMap
Southland,"Meri-Rastilan tie 3, 00980 Helsinki",chinese cuisine,confidence:medium;cuisine:chinese;delivery:no;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes,,2025-11-09T20:54:18Z,88,,,,,OpenStreetMap
Itsudemo,"Salomonkatu 3, 00100 Helsinki, FI",sushi cuisine,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;restaurant,,2025-11-09T07:11:53Z,88,,,,,OpenStreetMap
Hot Chick,Kustaankatu 7,"chicken, sandwich cuisine",confidence:medium;cuisine:chicken;cuisine:sandwich;fast_food,,2025-11-27T10:29:45Z,70,,,,,OpenStreetMap
Satama Bar & Bistro,"Hitsaajankatu 22, 00810 Helsinki",mediterranean cuisine,confidence:medium;cuisine:mediterranean;restaurant,,2025-08-21T19:15:06Z,168,,,,,OpenStreetMap
Sotto Pizzeria,Laajalahdentie 17,pizza cuisine,confidence:medium;cuisine:pizza;restaurant,,2025-12-11T14:49:34Z,56,,,,,OpenStreetMap
Twenty four social club,"Kolmas linja 6, 00530 Helsinki, FI",fusion cuisine,confidence:medium;cuisine:fusion;restaurant,,2025-12-01T14:54:37Z,66,,,,,OpenStreetMap
Ravintola Kookos,"Haapaniemenkatu 6, 00530 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-09-12T07:54:17Z,146,,,,,OpenStreetMap
Unicafe,"Yrjö-Koskisen katu 3, 00170 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Unicafe,"Siltavuorenpenger 5, 00170 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Unicafe,"Unioninkatu 38, 00170 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Unicafe,"Fabianinkatu 39, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Unicafe,,,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Unicafe,"Pietari Kalmin katu 5, 00560 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Soitin,,,confidence:medium;restaurant,,2025-09-05T06:54:21Z,153,,,,,OpenStreetMap
Meilahden Kartanon Kahvila,"Tamminiementie 8, 00250 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-10-22T05:27:44Z,106,,,,,OpenStreetMap
Onnekas Kissa,"Teollisuuskatu 21, 00510 Helsinki",,confidence:medium;restaurant,,2026-01-14T15:55:47Z,22,,,,,OpenStreetMap
Kahvila Pikku Karhu,"Karhusaarentie 34, 00890 Helsinki",,cafe;confidence:medium;outdoor_seating:yes,,2025-10-06T23:45:06Z,122,,,,,OpenStreetMap
Birdie Numnum,"Hämeentie 2, 00530 Helsinki, FI",,confidence:medium;restaurant,,2025-09-12T07:39:08Z,146,,,,,OpenStreetMap
Indie Bistro & Bar,"Postikuja 2, 00100 Helsinki, FI",indian cuisine,confidence:medium;cuisine:indian;outdoor_seating:yes;restaurant,,2025-09-03T04:39:39Z,155,,,,,OpenStreetMap
Unicafe,"Viikinkaari 11, 00790 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Coffee House,"Asema-aukio 2, 00100 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:limited,,2025-08-28T15:37:02Z,161,,,,,OpenStreetMap
Taulu,"Rautatieasema, Kaivokatu 1, 00100 Helsinki, FI",,confidence:medium;restaurant,,2025-12-08T12:20:50Z,59,,,,,OpenStreetMap
Friends & Brgrs Helsinki,"Mikonkatu 8, 00100 Helsinki, FI",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no,,2025-10-30T13:08:29Z,98,,,,,OpenStreetMap
Zetor,"Mannerheimintie 3, 00100 Helsinki, FI",regional cuisine,confidence:medium;cuisine:regional;diet:halal:no;diet:kosher:no;restaurant,,2025-12-24T15:01:56Z,43,,,,,OpenStreetMap
Ravintola Saari,00150 Helsinki,,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-11-03T09:09:33Z,94,,,,,OpenStreetMap
Uunisaari,"Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-08-08T16:39:44Z,181,,,,,OpenStreetMap
Vapiano,"Mikonkatu, 00100 Helsinki, FI",italian cuisine,confidence:medium;cuisine:italian;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-09-30T14:40:08Z,128,,,,,OpenStreetMap
Domo,"Kalevankatu 21, 00100 Helsinki, FI",japanese cuisine,confidence:medium;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant,,2025-09-18T17:08:42Z,140,,,,,OpenStreetMap
Konditoria Briossi,"Kalevankatu 9, 00100 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-09-13T13:36:38Z,145,,,,,OpenStreetMap
Café Berry,"Annankatu 27, 00100 Helsinki, FI",,cafe;confidence:medium;outdoor_seating:yes,,2025-08-30T13:54:16Z,159,,,,,OpenStreetMap
Swad Nepal,"Lapinlahdenkatu 17, 00180 Helsinki, FI",nepalese cuisine,confidence:medium;cuisine:nepalese;restaurant,,2025-08-20T07:32:23Z,169,,,,,OpenStreetMap
